target,model,experiment,descriptor,delta_metric,n_countries,spearman_r,spearman_p,pearson_r,pearson_p
extreme_abs_151_h1,random_forest,Random Forest h=1,event_prevalence,pr_auc_delta,21,0.03052939427011376,0.8954853217248687,-0.25651735126882763,0.2616752778092638
extreme_abs_151_h1,random_forest,Random Forest h=1,event_prevalence,f1_delta,24,0.42054870850043197,0.040728858143361385,0.14705364606135518,0.4929042778200611
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_mean,pr_auc_delta,21,-0.07532467532467534,0.7455550758529895,-0.20555085634815523,0.37139006163634136
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_mean,f1_delta,24,0.43493864476953387,0.03366628214083497,0.2192981559359359,0.3032041946364228
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_std,pr_auc_delta,21,0.08571428571428572,0.7118136961291482,-0.04711670602373588,0.8392861240291482
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_std,f1_delta,24,0.4034972969548688,0.05055400115838686,0.20076804019827285,0.34686939900152725
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_p90,pr_auc_delta,21,0.0272904541041555,0.9065240295381775,-0.1096051879748884,0.6362506271442104
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_p90,f1_delta,24,0.4705147771947331,0.020320336428666316,0.2341615567160247,0.2707600879464882
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_p95,pr_auc_delta,21,0.07794738962582236,0.7369923957289725,-0.10451516722023069,0.6520908781005027
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_p95,f1_delta,24,0.4254240598166123,0.03821626296184426,0.22585010927976165,0.288618416149772
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_seasonal_amplitude,pr_auc_delta,21,0.07532467532467534,0.7455550758529895,-0.010800250722177907,0.9629408537887616
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_seasonal_amplitude,f1_delta,24,0.3205270735550581,0.12674972533301657,0.16527511087240757,0.4402410025934723
extreme_abs_151_h1,random_forest,Random Forest h=1,city_count,pr_auc_delta,21,0.3206508303933404,0.15643167072734165,-0.008598609001886436,0.9704918271574253
extreme_abs_151_h1,random_forest,Random Forest h=1,city_count,f1_delta,24,-0.25492030209762045,0.2292986590043255,-0.5378301149426954,0.006713706515066055
extreme_abs_151_h1,random_forest,Random Forest h=1,observations,pr_auc_delta,21,0.3036413490587622,0.18086167899373762,-0.010872005945432951,0.962694802796421
extreme_abs_151_h1,random_forest,Random Forest h=1,observations,f1_delta,24,-0.2667843712350219,0.2076004878552102,-0.5552343993304589,0.004856035442369668
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_mean_abs_smd_vs_global,pr_auc_delta,21,-0.6610389610389611,0.0011040228328465568,-0.46583938585900175,0.03330941614867618
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_mean_abs_smd_vs_global,f1_delta,24,-0.30305965810246643,0.14999871802942785,-0.16333526313713673,0.44570021839875207
extreme_abs_151_h1,random_forest,Random Forest h=1,profile_shift_smd_mean,pr_auc_delta,21,-0.612987012987013,0.0031305775706129803,-0.40109959097992076,0.07153638282478932
extreme_abs_151_h1,random_forest,Random Forest h=1,profile_shift_smd_mean,f1_delta,24,-0.29170583805828176,0.16664308964103486,-0.11533437156292946,0.5915064656741718
extreme_abs_151_h1,random_forest,Random Forest h=1,profile_shift_smd_max,pr_auc_delta,21,-0.16363636363636364,0.4784743069143618,-0.06551960129718881,0.7778159204557495
extreme_abs_151_h1,random_forest,Random Forest h=1,profile_shift_smd_max,f1_delta,24,0.11091808812395744,0.6058723267315812,0.10635499442693311,0.6208661188926192
extreme_abs_151_h1,xgboost,XGBoost h=1,event_prevalence,pr_auc_delta,21,0.1240662618211006,0.5920919886806326,-0.2764590948310336,0.2250772564025882
extreme_abs_151_h1,xgboost,XGBoost h=1,event_prevalence,f1_delta,24,0.45853844898411417,0.024221146212579786,0.1372677118478399,0.5224251730900207
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_mean,pr_auc_delta,21,0.00909090909090909,0.9688031519255759,-0.18952156815962584,0.41061452480706834
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_mean,f1_delta,24,0.367785625282367,0.07703386620939819,0.15562077501411173,0.46776142597203835
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_std,pr_auc_delta,21,0.16753246753246753,0.4679157387083451,-0.04904269345931464,0.8328040488058726
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_std,f1_delta,24,0.5257303723361443,0.008327716670175605,0.2293466489902172,0.281017758912499
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_p90,pr_auc_delta,21,0.1267056797692934,0.5841740149185405,-0.10367397966778055,0.6547228394378117
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_p90,f1_delta,24,0.45688464303791276,0.0248042242969267,0.20708287267497474,0.3315898755637342
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_p95,pr_auc_delta,21,0.14355310922755618,0.5347378328340222,-0.1098001126828317,0.6356469893058598
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_p95,f1_delta,24,0.48702697857232774,0.015792659899326822,0.22882751610431595,0.2821381670256934
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_seasonal_amplitude,pr_auc_delta,21,0.15974025974025974,0.4891511154734236,-0.026308530088942433,0.9098739187282758
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_seasonal_amplitude,f1_delta,24,0.5185100410422573,0.009435871034913015,0.2741301991017815,0.1948837572951537
extreme_abs_151_h1,xgboost,XGBoost h=1,city_count,pr_auc_delta,21,0.28422801801600356,0.21177849100452764,-0.08312623888454773,0.7201730486603032
extreme_abs_151_h1,xgboost,XGBoost h=1,city_count,f1_delta,24,-0.22186349272290934,0.29744000296124246,-0.3378403946624433,0.10639671004759604
extreme_abs_151_h1,xgboost,XGBoost h=1,observations,pr_auc_delta,21,0.2795841115530359,0.21966362538013245,-0.09045846287972349,0.6965729937482749
extreme_abs_151_h1,xgboost,XGBoost h=1,observations,f1_delta,24,-0.23931228713779307,0.26005467901850027,-0.33465687177763737,0.10994532016213979
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_mean_abs_smd_vs_global,pr_auc_delta,21,-0.6012987012987013,0.003936569354114926,-0.5590330829254192,0.008425753862561416
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_mean_abs_smd_vs_global,f1_delta,24,-0.1028897209378892,0.632351692235372,-0.1520099005760182,0.47827722223943264
extreme_abs_151_h1,xgboost,XGBoost h=1,profile_shift_smd_mean,pr_auc_delta,21,-0.5298701298701299,0.013490234568810282,-0.4195837607196783,0.05829226831235723
extreme_abs_151_h1,xgboost,XGBoost h=1,profile_shift_smd_mean,f1_delta,24,-0.15659093493617346,0.4649565296446973,-0.06323048891397827,0.769123057289909
extreme_abs_151_h1,xgboost,XGBoost h=1,profile_shift_smd_max,pr_auc_delta,21,-0.13766233766233765,0.551800840604731,0.01688108518453832,0.9421031576962982
extreme_abs_151_h1,xgboost,XGBoost h=1,profile_shift_smd_max,f1_delta,24,0.27527513057944036,0.19295068799220824,0.2143140115794202,0.31459919290248217
extreme_abs_151_h3,xgboost,XGBoost h=3,event_prevalence,pr_auc_delta,21,0.2968496421583402,0.19130516823322058,-0.1610001932022654,0.48568558390168387
extreme_abs_151_h3,xgboost,XGBoost h=3,event_prevalence,f1_delta,24,0.6880335544855231,0.00020240689610906616,0.08093366638801368,0.7069586417639716
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_mean,pr_auc_delta,21,0.12857142857142856,0.5786044448638965,-0.13396790607082865,0.5626256753373177
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_mean,f1_delta,24,0.5961286024515422,0.002110658502209543,0.1239317610658327,0.5639667867610506
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_std,pr_auc_delta,21,0.34155844155844156,0.12967786415595978,0.07348907770265899,0.7515652528333262
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_std,f1_delta,24,0.6773573295077705,0.0002769812464469939,0.1445435734885627,0.500396116905506
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_p90,pr_auc_delta,21,0.2930474952612888,0.19732603865365209,-0.021067879998723664,0.9277762617087868
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_p90,f1_delta,24,0.6907445690197692,0.00018652539404815312,0.16197716083057773,0.4495434916247719
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_p95,pr_auc_delta,21,0.3286781595888843,0.1457408822316677,-0.005041697142411759,0.9826958382047308
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_p95,f1_delta,24,0.6883374813000924,0.0002005697130205904,0.1524488460895614,0.4769925226622881
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_seasonal_amplitude,pr_auc_delta,21,0.36623376623376624,0.10250352982629483,0.1334811280125443,0.5640589397097814
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_seasonal_amplitude,f1_delta,24,0.6764547880960347,0.00028426018894001245,0.19898863290212543,0.35124890792157315
extreme_abs_151_h3,xgboost,XGBoost h=3,city_count,pr_auc_delta,21,0.34276468076529487,0.12824107381391972,0.04429215826120665,0.8488104094839888
extreme_abs_151_h3,xgboost,XGBoost h=3,city_count,f1_delta,24,0.03208209365239626,0.8816979658259569,-0.16862155944403975,0.43090769187759936
extreme_abs_151_h3,xgboost,XGBoost h=3,observations,pr_auc_delta,21,0.3342005426471174,0.13869120421808015,0.031722325525488135,0.891424237996164
extreme_abs_151_h3,xgboost,XGBoost h=3,observations,f1_delta,24,0.007005364401578456,0.9740834239919991,-0.17218416051626,0.4210900056491639
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_mean_abs_smd_vs_global,pr_auc_delta,21,-0.574025974025974,0.006506006572823369,-0.4081429429292849,0.06624685929639045
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_mean_abs_smd_vs_global,f1_delta,24,-0.22383027011049578,0.29306720113461376,-0.21708652237015003,0.30822864750047785
extreme_abs_151_h3,xgboost,XGBoost h=3,profile_shift_smd_mean,pr_auc_delta,21,-0.4688311688311688,0.032044958116342656,-0.36361688077946497,0.10516934056491904
extreme_abs_151_h3,xgboost,XGBoost h=3,profile_shift_smd_mean,f1_delta,24,-0.08664397552664353,0.6872675536314153,-0.0071474895812381305,0.9735578044905231
extreme_abs_151_h3,xgboost,XGBoost h=3,profile_shift_smd_max,pr_auc_delta,21,-0.12077922077922078,0.6020154473326507,-0.16924374455335878,0.4633159132486638
extreme_abs_151_h3,xgboost,XGBoost h=3,profile_shift_smd_max,f1_delta,24,0.2766289426970442,0.19068190198961044,0.4806933219195598,0.017420311376396064
