target,model,held_out_country,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_weighted,roc_auc_weighted,f1_weighted,recall_weighted,precision_weighted,balanced_accuracy_weighted,false_alarm_rate_weighted,missed_event_rate_weighted,feature_regime,temperature,weighting_strategy,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h3,xgboost,Australia,0.0005662514156285,0.8285075787019044,0.0,0.0,0.0,0.5,0.0,1.0,0.0009784735812133,0.9007967353284104,0.0,0.0,0.0,0.5,0.0,1.0,local,0.5,country_environmental_similarity,0.00041222216558480006,0.07228915662650603,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Bangladesh,0.951306421729062,0.900205638144163,0.876285868976719,0.8830991679170646,0.8695768972464741,0.7981227006498174,0.2868537666174298,0.1169008320829354,0.9537286732615112,0.9034565180904546,0.8763531231089895,0.8889646705770018,0.864094404667197,0.7930790856577772,0.3028064992614475,0.1110353294229982,local,0.5,country_environmental_similarity,0.0024222515324492377,0.003250879946291585,6.725413227048893e-05,0.005865502659937238,-0.005482492579277132,-0.005043614992040202,0.015952732644017698,-0.005865502659937211
extreme_abs_151_h3,xgboost,Brazil,0.3460429097512201,0.8378020422926485,0.0751633986928104,0.0405286343612334,0.5168539325842697,0.518332948154386,0.0038627380524613,0.9594713656387666,0.3694382478003475,0.8585605493390488,0.0470588235294117,0.024669603524229,0.509090909090909,0.5111220816758767,0.0024254401724757,0.9753303964757708,local,0.5,country_environmental_similarity,0.023395338049127412,0.020758507046400254,-0.028104575163398697,-0.0158590308370044,-0.007763023493360666,-0.007210866478509326,-0.0014372978799856002,0.01585903083700424
extreme_abs_151_h3,xgboost,China,0.6150107489381027,0.9298201617287384,0.4995654872749844,0.908352144469526,0.3445205479452055,0.8553022216303616,0.1977477012088025,0.091647855530474,0.628183060009684,0.9354193073972484,0.5081823860087445,0.9182844243792324,0.3512953367875647,0.8621280578348276,0.1940283087095774,0.0817155756207674,local,0.5,country_environmental_similarity,0.013172311071581344,0.005599145668510053,0.008616898733760148,0.009932279909706465,0.006774788842359214,0.006825836204465974,-0.0037193924992250937,-0.009932279909706604
extreme_abs_151_h3,xgboost,Egypt,0.4042492923142619,0.6238116284925873,0.2296663540131314,0.1725734997986306,0.34321185422507,0.5041224212420007,0.1643286573146292,0.8274265002013693,0.3950663169859684,0.6126899086130376,0.2049341183067003,0.1472009665726943,0.3371771217712177,0.5016064953103953,0.1439879759519038,0.8527990334273057,local,0.5,country_environmental_similarity,-0.009182975328293486,-0.011121719879549685,-0.0247322357064311,-0.0253725332259363,-0.006034732453852276,-0.002515925931605434,-0.020340681362725405,0.025372533225936356
extreme_abs_151_h3,xgboost,Ethiopia,0.4182210648368007,0.9020899678330312,0.3788187372708758,0.3500627352572145,0.4127218934911242,0.6534880639602765,0.0430866073366616,0.6499372647427855,0.439578861628432,0.9054158760644364,0.3805243445692884,0.3186951066499373,0.4721189591078067,0.6439362227410745,0.0308226611677881,0.6813048933500627,local,0.5,country_environmental_similarity,0.0213577967916313,0.003325908231405217,0.0017056072984126258,-0.03136762860727721,0.05939706561668251,-0.00955184121920194,-0.0122639461688735,0.031367628607277265
extreme_abs_151_h3,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,0.5,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,0.5,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,India,0.8987588815351613,0.9421931364493488,0.790885703785373,0.7394172622319956,0.8500553009954179,0.8328885799015957,0.0736401024288042,0.2605827377680044,0.9019533770261052,0.943692600881012,0.7830480355930926,0.7135788894997251,0.8675020885547201,0.8260220046939923,0.0615348801117405,0.2864211105002748,local,0.5,country_environmental_similarity,0.0031944954909439716,0.0014994644316632666,-0.00783766819228049,-0.02583837273227041,0.01744678755930218,-0.006866575207603365,-0.0121052223170637,0.02583837273227041
extreme_abs_151_h3,xgboost,Indonesia,0.1821976939527264,0.6347349064989678,0.0490143846563665,0.0293367346938775,0.1488673139158576,0.5034155862413423,0.0225055622111928,0.9706632653061223,0.2166494316229494,0.6674724378027781,0.0729684908789386,0.0420918367346938,0.2738589211618257,0.5135583263769311,0.0149751839808317,0.957908163265306,local,0.5,country_environmental_similarity,0.034451737670223,0.0327375313038103,0.023954106222572102,0.012755102040816299,0.12499160724596808,0.010142740135588801,-0.007530378230361099,-0.012755102040816313
extreme_abs_151_h3,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,0.5,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Mexico,0.5647643485518264,0.8959046983356186,0.5349056603773585,0.4813242784380305,0.6019108280254777,0.7239657901540109,0.0333926981300089,0.5186757215619694,0.5718256434944636,0.9089319703619488,0.5477014335145823,0.4702886247877759,0.6556213017751479,0.7221879455194444,0.0259127337488869,0.5297113752122241,local,0.5,country_environmental_similarity,0.007061294942637186,0.01302727202633025,0.012795773137223798,-0.011035653650254607,0.053710473749670196,-0.0017778446345664278,-0.007479964381121997,0.011035653650254718
extreme_abs_151_h3,xgboost,Nigeria,0.8843703267686996,0.9126873687309396,0.7993799250742798,0.7856780091416963,0.8135682356034709,0.8357904046352189,0.1140971998712584,0.2143219908583037,0.8851594297366745,0.913564906844634,0.7969768047954131,0.776536312849162,0.8185224839400428,0.8337139240460809,0.1091084647570003,0.2234636871508379,local,0.5,country_environmental_similarity,0.0007891029679748529,0.0008775381136943983,-0.0024031202788666883,-0.009141696292534252,0.004954248336571876,-0.002076480589138008,-0.004988735114258097,0.009141696292534196
extreme_abs_151_h3,xgboost,Pakistan,0.9688713117622846,0.8798297372813878,0.8315544105017789,0.7424690546609706,0.944932385333891,0.7729758208628236,0.1965174129353233,0.2575309453390295,0.9685003716655922,0.8793734253477927,0.8237479106048412,0.7287764267718261,0.9471810933940774,0.7720996561719826,0.1845771144278607,0.271223573228174,local,0.5,country_environmental_similarity,-0.0003709400966923626,-0.00045631193359507716,-0.007806499896937713,-0.013692627889144493,0.0022487080601863996,-0.0008761646908409526,-0.011940298507462588,0.013692627889144493
extreme_abs_151_h3,xgboost,Philippines,0.0497557408069582,0.9065392683360592,0.0,0.0,0.0,0.499899416616375,0.00020116676725,1.0,0.0479506591486202,0.8989924168875129,0.0,0.0,0.0,0.499899416616375,0.00020116676725,1.0,local,0.5,country_environmental_similarity,-0.0018050816583380022,-0.007546851448546388,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Russia,0.7822014502178402,0.9536088170334808,0.6513089005235602,0.5127782357790602,0.8923959827833573,0.7528616980795404,0.0070548396199793,0.4872217642209398,0.7696888310099008,0.9544785843451344,0.6408898305084746,0.4987633965375103,0.8962962962962963,0.7460894397794314,0.0065845169786473,0.5012366034624897,local,0.5,country_environmental_similarity,-0.012512619207939335,0.0008697673116536686,-0.010419070015085574,-0.014014839241549948,0.0039003135129389577,-0.006772258300108969,-0.0004703226413320001,0.014014839241549837
extreme_abs_151_h3,xgboost,Saudi Arabia,0.0181822701394581,0.5675487136675592,0.0,0.0,0.0,0.5,0.0,1.0,0.0160859982854153,0.5732731324700127,0.0,0.0,0.0,0.5,0.0,1.0,local,0.5,country_environmental_similarity,-0.002096271854042802,0.005724418802453446,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,South Africa,0.0420644860467548,0.923755055710263,0.0,0.0,0.0,0.5,0.0,1.0,0.047631891849491,0.9346944121343282,0.0,0.0,0.0,0.5,0.0,1.0,local,0.5,country_environmental_similarity,0.005567405802736201,0.010939356424065294,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,South Korea,0.0524454066273345,0.8621922219009326,0.0,0.0,0.0,0.4999592867030372,8.14265939255761e-05,1.0,0.054965624853645,0.8686236405124874,0.0,0.0,0.0,0.5,0.0,1.0,local,0.5,country_environmental_similarity,0.0025202182263105027,0.006431418611554829,0.0,0.0,0.0,4.071329696281323e-05,-8.14265939255761e-05,0.0
extreme_abs_151_h3,xgboost,Thailand,0.0525012273762282,0.9491326598835442,0.0,0.0,0.0,0.4995350278983261,0.0009299442033477,1.0,0.0799946106540406,0.9550000202602223,0.0,0.0,0.0,0.5,0.0,1.0,local,0.5,country_environmental_similarity,0.027493383277812394,0.005867360376678121,0.0,0.0,0.0,0.00046497210167389946,-0.0009299442033477,0.0
extreme_abs_151_h3,xgboost,Turkey,0.2602479389762805,0.8445574876279575,0.1054216867469879,0.0583333333333333,0.546875,0.5276921903599756,0.0029489526133821,0.9416666666666668,0.2623711846092808,0.8411587350010169,0.0858895705521472,0.0466666666666666,0.5384615384615384,0.52211307707952,0.0024405125076266,0.9533333333333334,local,0.5,country_environmental_similarity,0.0021232456330003147,-0.00339875262694056,-0.0195321161948407,-0.0116666666666667,-0.008413461538461564,-0.005579113280455572,-0.0005084401057554996,0.011666666666666603
extreme_abs_151_h3,xgboost,United Kingdom,0.0011337868480725,0.9143995336183444,0.0,0.0,0.0,0.5,0.0,1.0,0.0022321428571428,0.9565682083171394,0.0,0.0,0.0,0.5,0.0,1.0,local,0.5,country_environmental_similarity,0.0010983560090703003,0.04216867469879504,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,United States,0.0171443953030203,0.9077749453750912,0.0,0.0,0.0,0.5,0.0,1.0,0.0186249393929818,0.9004369992716679,0.0,0.0,0.0,0.5,0.0,1.0,local,0.5,country_environmental_similarity,0.0014805440899615004,-0.0073379461034233096,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Vietnam,0.439564785731255,0.8690467940168357,0.2648221343873518,0.1632155907429963,0.7015706806282722,0.5787275528247574,0.0057604850934815,0.8367844092570037,0.4528062456860587,0.8724423745306228,0.2438524590163934,0.1449451887941534,0.7677419354838709,0.5706534938412404,0.0036382011116725,0.8550548112058465,local,0.5,country_environmental_similarity,0.013241459954803692,0.0033955805137870776,-0.020969675370958396,-0.018270401948842885,0.06617125485559872,-0.008074058983516985,-0.0021222839818090004,0.018270401948842774
extreme_abs_151_h3,xgboost,Australia,0.0005662514156285,0.8285075787019044,0.0,0.0,0.0,0.5,0.0,1.0,0.0006038647342995,0.8391954916439953,0.0,0.0,0.0,0.5,0.0,1.0,local,1.0,country_environmental_similarity,3.7613318670999996e-05,0.010687912942090927,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Bangladesh,0.951306421729062,0.900205638144163,0.876285868976719,0.8830991679170646,0.8695768972464741,0.7981227006498174,0.2868537666174298,0.1169008320829354,0.9521289225750916,0.900514256550409,0.8740300924364078,0.8835083890328741,0.8647530040053405,0.7921234707350486,0.2992614475627769,0.1164916109671259,local,1.0,country_environmental_similarity,0.000822500846029639,0.00030861840624596404,-0.002255776540311172,0.0004092211158095438,-0.004823893241133637,-0.0059992299147687556,0.01240768094534711,-0.00040922111580950216
extreme_abs_151_h3,xgboost,Brazil,0.3460429097512201,0.8378020422926485,0.0751633986928104,0.0405286343612334,0.5168539325842697,0.518332948154386,0.0038627380524613,0.9594713656387666,0.3564990768107463,0.8519510368964497,0.0783373301358912,0.0431718061674008,0.4224137931034483,0.5185765606474805,0.0060186848724398,0.9568281938325992,local,1.0,country_environmental_similarity,0.010456167059526178,0.014148994603801146,0.003173931443080799,0.0026431718061674034,-0.09444013948082142,0.00024361249309445832,0.0021559468199784998,-0.002643171806167355
extreme_abs_151_h3,xgboost,China,0.6150107489381027,0.9298201617287384,0.4995654872749844,0.908352144469526,0.3445205479452055,0.8553022216303616,0.1977477012088025,0.091647855530474,0.6064867369827576,0.9292409132242035,0.5034203192297948,0.8970654627539504,0.3498855432294418,0.8531716403551755,0.1907221820435995,0.1029345372460496,local,1.0,country_environmental_similarity,-0.008524011955345134,-0.000579248504534835,0.0038548319548104004,-0.011286681715575564,0.00536499528423634,-0.002130581275186172,-0.007025519165202998,0.011286681715575606
extreme_abs_151_h3,xgboost,Egypt,0.4042492923142619,0.6238116284925873,0.2296663540131314,0.1725734997986306,0.34321185422507,0.5041224212420007,0.1643286573146292,0.8274265002013693,0.4002574793821123,0.6163139609868146,0.2145242070116861,0.1552557390253725,0.346984698469847,0.5049324787311231,0.1453907815631262,0.8447442609746275,local,1.0,country_environmental_similarity,-0.003991812932149563,-0.007497667505772743,-0.01514214700144531,-0.017317760773258084,0.003772844244776974,0.0008100574891224399,-0.01893787575150299,0.017317760773258195
extreme_abs_151_h3,xgboost,Ethiopia,0.4182210648368007,0.9020899678330312,0.3788187372708758,0.3500627352572145,0.4127218934911242,0.6534880639602765,0.0430866073366616,0.6499372647427855,0.4458875772050951,0.9089619772867592,0.3913669064748201,0.3412797992471769,0.4586846543001686,0.6532207548439054,0.0348382895593661,0.6587202007528231,local,1.0,country_environmental_similarity,0.02766651236829437,0.006872009453728012,0.012548169203944304,-0.0087829360100376,0.04596276080904438,-0.0002673091163710728,-0.008248317777295504,0.008782936010037656
extreme_abs_151_h3,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,1.0,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,1.0,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,India,0.8987588815351613,0.9421931364493488,0.790885703785373,0.7394172622319956,0.8500553009954179,0.8328885799015957,0.0736401024288042,0.2605827377680044,0.899674738833969,0.9424037675906866,0.7833058594335381,0.7183892248488181,0.8611202635914332,0.8264872328946504,0.0654147590595173,0.281610775151182,local,1.0,country_environmental_similarity,0.0009158572988077207,0.00021063114133779148,-0.007579844351834897,-0.02102803738317749,0.011064962596015304,-0.006401347006945279,-0.008225343369286903,0.0210280373831776
extreme_abs_151_h3,xgboost,Indonesia,0.1821976939527264,0.6347349064989678,0.0490143846563665,0.0293367346938775,0.1488673139158576,0.5034155862413423,0.0225055622111928,0.9706632653061223,0.2152010264375664,0.6626357917375405,0.0790774299835255,0.0459183673469387,0.2845849802371542,0.5152148742433821,0.0154886188601745,0.9540816326530612,local,1.0,country_environmental_similarity,0.03300333248484,0.027900885238572704,0.030063045327159005,0.0165816326530612,0.13571766632129656,0.011799288002039776,-0.007016943351018299,-0.016581632653061118
extreme_abs_151_h3,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,1.0,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
