dataset,target,model,model_family,feature_regime,weighting_strategy,countries__all_eligible,countries__minimum_support,events__all_eligible,events__minimum_support,mean_f1__all_eligible,mean_f1__minimum_support,mean_false_alarm_rate__all_eligible,mean_false_alarm_rate__minimum_support,mean_pr_auc__all_eligible,mean_pr_auc__minimum_support,mean_precision__all_eligible,mean_precision__minimum_support,mean_recall__all_eligible,mean_recall__minimum_support,rows__all_eligible,rows__minimum_support,delta_pr_auc_filtered_minus_all,delta_f1_filtered_minus_all,delta_recall_filtered_minus_all
openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,base,none,10,5,33,25,0.19094017094017093,0.2152136752136752,0.2320761487834658,0.20688734030197437,0.27586138833230106,0.29815134809317356,0.18333333333333332,0.23666666666666666,0.23060606060606062,0.22787878787878788,178,126,0.022289959760872502,0.024273504273504276,-0.002727272727272745
openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,10,5,33,25,0.1308244980825626,0.2116489961651252,0.3131440781440781,0.3985714285714285,0.2557330453467118,0.321783551010884,0.11127450980392158,0.1892156862745098,0.2275757575757576,0.35515151515151516,178,126,0.0660505056641722,0.08082449808256259,0.12757575757575756
openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,none,10,5,33,25,0.145014245014245,0.24002849002849,0.23789466630930045,0.18091753774680602,0.26665567696614123,0.32386690948783803,0.18261904761904763,0.33666666666666667,0.22303030303030305,0.24606060606060604,178,126,0.0572112325216968,0.09501424501424499,0.023030303030302984
openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,base,none,10,5,33,25,0.20144444444444445,0.2028888888888889,0.13366374817594326,0.19211382113821135,0.3316392486632928,0.3582784973265857,0.21523809523809523,0.1638095238095238,0.26969696969696966,0.2727272727272727,178,126,0.02663924866329287,0.0014444444444444426,0.00303030303030305
openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,10,5,33,25,0.22160732670354905,0.31464322483566953,0.5403722564698175,0.6988153310104529,0.3063247739430925,0.36479240502904214,0.21144444444444446,0.20622222222222222,0.45,0.7333333333333333,178,126,0.058467631085949656,0.09303589813212049,0.28333333333333327
openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,none,10,5,33,25,0.15259259259259256,0.2385185185185185,0.1833249947884094,0.21365853658536582,0.30724323669732206,0.34758171148988226,0.11077380952380951,0.181547619047619,0.27878787878787875,0.35757575757575755,178,126,0.0403384747925602,0.08592592592592593,0.0787878787878788
openaq,PM10_p95_rel_p90_h1,xgboost,boosting,base,none,10,5,33,25,0.0,0.0,0.0,0.0,0.3181155641743877,0.3545644616821087,0.0,0.0,0.0,0.0,178,126,0.03644889750772101,0.0,0.0
openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,10,5,33,25,0.06590909090909092,0.13181818181818183,0.23295050477977303,0.32231126596980253,0.3071994818105287,0.3177322969543908,0.04265734265734265,0.0853146853146853,0.1484848484848485,0.296969696969697,178,126,0.010532815143862118,0.06590909090909092,0.1484848484848485
openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,none,10,5,33,25,0.0,0.0,0.0,0.0,0.3510441356029591,0.37296128707893417,0.0,0.0,0.0,0.0,178,126,0.02191715147597506,0.0,0.0
openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,base,none,7,5,28,25,0.3349996564282279,0.368999518999519,0.24392061702729873,0.30315553050488486,0.3990038252911402,0.39193868874092963,0.319327731092437,0.34705882352941175,0.43809523809523804,0.5133333333333333,144,118,-0.007065136550210571,0.03399986257129112,0.07523809523809527
openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,7,5,28,25,0.3462585034013605,0.25142857142857145,0.24775507764081242,0.30852377536380404,0.5154164821419649,0.3993608527765286,0.28174603174603174,0.19444444444444445,0.5095238095238095,0.4133333333333333,144,118,-0.11605562936543629,-0.09482993197278905,-0.09619047619047622
openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,none,7,5,28,25,0.2578231292517007,0.26095238095238094,0.20210877033740324,0.2446189451390312,0.4024615076953622,0.388446110773507,0.21541950113378686,0.2015873015873016,0.35714285714285715,0.4,144,118,-0.014015396921855217,0.0031292517006802356,0.04285714285714287
openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,base,none,7,5,28,25,0.1829004329004329,0.25606060606060604,0.17518104802896767,0.22025346724055472,0.2742531700424869,0.31371634282138644,0.1585434173669468,0.2219607843137255,0.23333333333333334,0.32666666666666666,144,118,0.03946317277889955,0.07316017316017315,0.09333333333333332
openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,7,5,28,25,0.2825944170771757,0.395632183908046,0.5333345533335285,0.5500017080002733,0.3115538543914003,0.3661753961479605,0.19782913165266106,0.2769607843137255,0.5714285714285714,0.8,144,118,0.0546215417565602,0.1130377668308703,0.22857142857142865
openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,none,7,5,28,25,0.15934065934065936,0.2230769230769231,0.1673028967684635,0.23422405547584887,0.31807921426097296,0.36602518567964787,0.16071428571428573,0.225,0.24285714285714285,0.33999999999999997,144,118,0.047945971418674904,0.06373626373626373,0.09714285714285711
openaq,PM10_p95_rel_p90_h3,xgboost,boosting,base,none,7,5,28,25,0.0,0.0,0.0,0.0,0.2800716789678965,0.32543368388838845,0.0,0.0,0.0,0.0,144,118,0.04536200492049197,0.0,0.0
openaq,PM10_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,7,5,28,25,0.2619047619047619,0.3666666666666667,0.2034228325476532,0.25979196556671447,0.5120194329896284,0.6579383172965908,0.2774725274725275,0.38846153846153847,0.380952380952381,0.5333333333333334,144,118,0.14591888430696243,0.10476190476190478,0.15238095238095245
openaq,PM10_p95_rel_p90_h3,xgboost,boosting,local,none,7,5,28,25,0.0,0.0,0.0,0.0,0.2555460792543268,0.2910978442893909,0.0,0.0,0.0,0.0,144,118,0.035551765035064076,0.0,0.0
openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,8,2,25,18,0.12152777777777778,0.3611111111111111,0.30399912587412586,0.1893939393939394,0.20863797936954478,0.3560571036175827,0.16666666666666666,0.5833333333333333,0.14583333333333331,0.3333333333333333,168,94,0.1474191242480379,0.23958333333333331,0.1875
openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,8,2,25,18,0.20656028368794327,0.3262411347517731,0.443006993006993,0.5848484848484848,0.2469409565089871,0.22659493508304218,0.1695675105485232,0.2616033755274262,0.35416666666666663,0.6666666666666666,168,94,-0.02034602142594491,0.11968085106382981,0.3125
openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,8,2,25,18,0.11527777777777778,0.25,0.28090034965034966,0.00757575757575755,0.2226586480395705,0.3547020935353222,0.15674603174603174,0.5,0.22916666666666666,0.16666666666666666,168,94,0.13204344549575173,0.13472222222222222,-0.0625
openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,8,2,25,18,0.18988095238095237,0.34285714285714286,0.21934003496503493,0.2090909090909091,0.3139172321150539,0.3943271955195718,0.1840277777777778,0.3611111111111111,0.21666666666666667,0.3666666666666667,168,94,0.08040996340451789,0.1529761904761905,0.15000000000000002
openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,8,2,25,18,0.16473937708877467,0.31047265987025024,0.5446314102564103,0.8166666666666667,0.289893126612857,0.29180848282753924,0.10792483660130718,0.19558823529411762,0.37916666666666665,0.7666666666666666,168,94,0.0019153562146822511,0.14573328278147557,0.38749999999999996
openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,8,2,25,18,0.22420634920634921,0.2857142857142857,0.18596299533799532,0.17878787878787877,0.3246011239942929,0.425786473662565,0.221875,0.325,0.31666666666666665,0.26666666666666666,168,94,0.10118534966827208,0.061507936507936484,-0.04999999999999999
openaq,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,8,2,25,18,0.0,0.0,0.0,0.0,0.2550657014942729,0.3675925925925926,0.0,0.0,0.0,0.0,168,94,0.1125268910983197,0.0,0.0
openaq,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,8,2,25,18,0.09027777777777778,0.1111111111111111,0.1736378205128205,0.25,0.23427998394384944,0.20093232475585415,0.08333333333333333,0.0833333333333333,0.10416666666666666,0.16666666666666666,168,94,-0.03334765918799529,0.02083333333333333,0.0625
openaq,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,8,2,25,18,0.0,0.0,0.0,0.0,0.22558737558737554,0.34175084175084164,0.0,0.0,0.0,0.0,168,94,0.1161634661634661,0.0,0.0
openaq,PM25_p95_rel_p90_h3,logistic_regression,linear,base,none,6,2,23,18,0.19166666666666665,0.375,0.27290933467404055,0.2726495726495727,0.28135692724185324,0.3385113657236807,0.17094017094017092,0.34615384615384615,0.2261904761904762,0.42857142857142855,140,92,0.05715443848182744,0.18333333333333335,0.20238095238095236
openaq,PM25_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,6,2,23,18,0.24467275494672755,0.4840182648401826,0.2574995810289928,0.48034188034188036,0.39673723859202004,0.4001764298133834,0.21440677966101696,0.39322033898305087,0.33928571428571425,0.7678571428571428,140,92,0.00343919122136338,0.23934550989345507,0.42857142857142855
openaq,PM25_p95_rel_p90_h3,logistic_regression,linear,local,none,6,2,23,18,0.17380952380952377,0.3214285714285714,0.22630299983241162,0.20341880341880342,0.34749261247850916,0.3478981978629396,0.16269841269841268,0.3214285714285714,0.19047619047619047,0.3214285714285714,140,92,0.00040558538443041803,0.14761904761904762,0.13095238095238093
openaq,PM25_p95_rel_p90_h3,random_forest,ensemble,base,none,6,2,23,18,0.1402831402831403,0.42084942084942084,0.25650243003184175,0.194017094017094,0.29666197637626207,0.47556547485118916,0.1473429951690821,0.44202898550724634,0.14285714285714285,0.42857142857142855,140,92,0.1789034984749271,0.2805662805662805,0.2857142857142857
openaq,PM25_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,6,2,23,18,0.12993487993487993,0.16758241758241754,0.6914781297134237,0.7538461538461538,0.30103318657037287,0.2960173098602757,0.09006707946336429,0.1157894736842105,0.3511904761904762,0.30357142857142855,140,92,-0.005015876710097178,0.037647537647537616,-0.04761904761904767
openaq,PM25_p95_rel_p90_h3,random_forest,ensemble,local,none,6,2,23,18,0.08055555555555556,0.24166666666666667,0.22046254399195575,0.0692307692307692,0.2966090612972753,0.4297170976876328,0.18333333333333335,0.55,0.05357142857142857,0.1607142857142857,140,92,0.13310803639035745,0.1611111111111111,0.10714285714285712
openaq,PM25_p95_rel_p90_h3,xgboost,boosting,base,none,6,2,23,18,0.0,0.0,0.0,0.0,0.1914259439575895,0.2424537487828627,0.0,0.0,0.0,0.0,140,92,0.05102780482527319,0.0,0.0
openaq,PM25_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,6,2,23,18,0.047619047619047616,0.14285714285714285,0.1821350762527233,0.1111111111111111,0.336871609403255,0.3796790235081374,0.05555555555555555,0.16666666666666666,0.041666666666666664,0.125,140,92,0.042807414104882424,0.09523809523809523,0.08333333333333334
openaq,PM25_p95_rel_p90_h3,xgboost,boosting,local,none,6,2,23,18,0.0,0.0,0.0,0.0,0.1914259439575895,0.2424537487828627,0.0,0.0,0.0,0.0,140,92,0.05102780482527319,0.0,0.0
waqd2024,PM10_p95_rel_p90_h1,logistic_regression,linear,base,none,14,5,40,27,0.23237179487179488,0.3506410256410256,0.3175500167660446,0.252180339985218,0.3298234416937601,0.34054960641243437,0.21991758241758244,0.3591025641025641,0.3242424242424242,0.4412121212121212,227,134,0.01072616471867427,0.11826923076923074,0.116969696969697
waqd2024,PM10_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,14,5,40,27,0.14393939393939395,0.24588744588744588,0.34300790672741893,0.25426829268292683,0.2698232051074148,0.297009308748254,0.1357142857142857,0.24666666666666667,0.21883116883116882,0.3127272727272727,227,134,0.027186103640839177,0.10194805194805193,0.09389610389610387
waqd2024,PM10_p95_rel_p90_h1,logistic_regression,linear,local,none,14,5,40,27,0.18860544217687075,0.25666666666666665,0.302518315018315,0.20833333333333331,0.29671822571653794,0.30257128296689473,0.22051282051282048,0.40410256410256407,0.29458874458874457,0.32484848484848483,227,134,0.005853057250356786,0.0680612244897959,0.030259740259740264
waqd2024,PM10_p95_rel_p90_h1,random_forest,ensemble,base,none,14,5,40,27,0.21568825910931172,0.09392712550607286,0.22662442087529192,0.15487804878048778,0.44557022962411696,0.39681593035603735,0.22767857142857142,0.1375,0.3874458874458874,0.21818181818181817,227,134,-0.048754299268079615,-0.12176113360323886,-0.16926406926406926
waqd2024,PM10_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,14,5,40,27,0.2967772108843537,0.29383333333333334,0.314785852939163,0.3509608277900961,0.43995367425783755,0.4580462197370444,0.26059059987631417,0.21298701298701297,0.5465367965367965,0.5636363636363637,227,134,0.018092545479206856,-0.0029438775510203796,0.01709956709956717
waqd2024,PM10_p95_rel_p90_h1,random_forest,ensemble,local,none,14,5,40,27,0.20762766645119585,0.10135746606334842,0.2091924480861763,0.21321138211382112,0.39901831322620107,0.357599129539638,0.2236394557823129,0.14285714285714285,0.35173160173160173,0.21818181818181817,227,134,-0.041419183686563055,-0.10627020038784743,-0.13354978354978356
waqd2024,PM10_p95_rel_p90_h1,xgboost,boosting,base,none,14,5,40,27,0.023809523809523808,0.06666666666666667,0.050211548033847676,0.03821138211382112,0.4180359841104321,0.42665546344902816,0.023809523809523808,0.06666666666666667,0.023809523809523808,0.06666666666666667,227,134,0.008619479338596081,0.04285714285714286,0.04285714285714286
waqd2024,PM10_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,14,5,40,27,0.18333333333333332,0.16666666666666666,0.19040040969483477,0.17378048780487804,0.3402635278270169,0.37083235849743024,0.13893557422969188,0.1223529411764706,0.33116883116883117,0.32727272727272727,227,134,0.030568830670413327,-0.016666666666666663,-0.0038961038961038974
waqd2024,PM10_p95_rel_p90_h1,xgboost,boosting,local,none,14,5,40,27,0.06802721088435373,0.05714285714285714,0.02933673469387755,0.025,0.348847580421489,0.3900989471911095,0.08928571428571429,0.05,0.05952380952380952,0.06666666666666667,227,134,0.04125136676962049,-0.010884353741496593,0.007142857142857145
waqd2024,PM10_p95_rel_p90_h3,logistic_regression,linear,base,none,9,6,29,28,0.22224627224627222,0.3333694083694083,0.304851490131764,0.34423287215328285,0.36393717783688245,0.406074855624511,0.18958078958078958,0.28437118437118436,0.3111111111111111,0.4666666666666666,174,137,0.04213767778762856,0.1111231361231361,0.1555555555555555
waqd2024,PM10_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,9,6,29,28,0.1694451059776137,0.2541676589664205,0.3221339430154149,0.40861808994029786,0.3584978778032431,0.362691968548228,0.12314814814814816,0.18472222222222223,0.2981481481481481,0.4472222222222222,174,137,0.004194090744984891,0.08472255298880682,0.14907407407407408
waqd2024,PM10_p95_rel_p90_h3,logistic_regression,linear,local,none,9,6,29,28,0.21296296296296294,0.3194444444444444,0.26100381417026686,0.3169228966725757,0.3408700606391261,0.36434840407898045,0.1835923335923336,0.2753885003885004,0.29444444444444445,0.44166666666666665,174,137,0.023478343439854332,0.10648148148148148,0.1472222222222222
waqd2024,PM10_p95_rel_p90_h3,random_forest,ensemble,base,none,9,6,29,28,0.16203703703703703,0.24305555555555555,0.2495782399505121,0.22611746167586988,0.32266765327689695,0.365334484378602,0.15648148148148147,0.2347222222222222,0.25,0.375,174,137,0.04266683110170505,0.08101851851851852,0.125
waqd2024,PM10_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,9,6,29,28,0.1863586705691969,0.27953800585379535,0.40521723320182884,0.31580305777995127,0.4498017621262905,0.5136576113695611,0.13980158730158732,0.20970238095238095,0.3222222222222222,0.48333333333333334,174,137,0.06385584924327059,0.09317933528459846,0.16111111111111115
waqd2024,PM10_p95_rel_p90_h3,random_forest,ensemble,local,none,9,6,29,28,0.1339225589225589,0.20088383838383836,0.20607177731696347,0.19657205343983264,0.39615514107740996,0.4510698868125338,0.1907203907203907,0.28608058608058606,0.2,0.3,174,137,0.05491474573512384,0.06696127946127947,0.09999999999999998
waqd2024,PM10_p95_rel_p90_h3,xgboost,boosting,base,none,9,6,29,28,0.0,0.0,0.037037037037037035,0.0,0.3665048536897276,0.4147684831508361,0.0,0.0,0.0,0.0,174,137,0.04826362946110846,0.0,0.0
waqd2024,PM10_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,9,6,29,28,0.13978232618583497,0.20967348927875243,0.24506274720224225,0.2578057610150036,0.41315946394117364,0.47011461269327404,0.10294396961063627,0.1544159544159544,0.2611111111111111,0.39166666666666666,174,137,0.05695514875210039,0.06989116309291746,0.13055555555555554
waqd2024,PM10_p95_rel_p90_h3,xgboost,boosting,local,none,9,6,29,28,0.0,0.0,0.037037037037037035,0.0,0.4646943625935223,0.5269919078742608,0.0,0.0,0.0,0.0,174,137,0.06229754528073844,0.0,0.0
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,11,6,34,31,0.1325358851674641,0.24298245614035086,0.28388429752066113,0.2824074074074074,0.29132405905620656,0.3880442896425109,0.15687935253152643,0.28761214630779847,0.1621212121212121,0.2972222222222222,217,147,0.09672023058630436,0.11044657097288677,0.1351010101010101
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,11,6,34,31,0.17046657046657046,0.24215167548500882,0.4023645546372819,0.4152777777777778,0.243060141426231,0.3063891539382883,0.12318111181747544,0.18648018648018647,0.38333333333333336,0.36944444444444446,217,147,0.0633290125120573,0.07168510501843836,-0.013888888888888895
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,11,6,34,31,0.1592056932966024,0.26157407407407407,0.3522956841138659,0.32474747474747473,0.25016140661861247,0.3263003109861197,0.21038961038961038,0.36904761904761907,0.3090909090909091,0.39999999999999997,217,147,0.07613890436750725,0.10236838077747168,0.09090909090909088
waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,11,6,34,31,0.16253191253191251,0.29797517297517295,0.156198347107438,0.19924242424242422,0.2853179291482708,0.3711587119042244,0.18939393939393942,0.34722222222222227,0.1803030303030303,0.33055555555555555,217,147,0.08584078275595358,0.13544326044326044,0.15025252525252525
waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,11,6,34,31,0.1874347377146929,0.28648749533407986,0.427961432506887,0.48324915824915826,0.24832201407993493,0.3174234973103786,0.13147073885710248,0.20969065656565655,0.4666666666666666,0.5222222222222223,217,147,0.06910148323044368,0.09905275761938695,0.055555555555555636
waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,11,6,34,31,0.11739980449657868,0.21523297491039425,0.13342516069788798,0.16338383838383838,0.29967277532035264,0.3950219834933495,0.1590909090909091,0.2916666666666667,0.10757575757575756,0.1972222222222222,217,147,0.09534920817299686,0.09783317041381558,0.08964646464646463
waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,11,6,34,31,0.0,0.0,0.005050505050505045,0.0,0.21586232697343802,0.2694284110950777,0.0,0.0,0.0,0.0,217,147,0.053566084121639684,0.0,0.0
waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,11,6,34,31,0.11769771447190801,0.215779143198498,0.17867309458218547,0.19204545454545452,0.258963065980287,0.3456205248963565,0.10113636363636364,0.18541666666666667,0.1424242424242424,0.26111111111111107,217,147,0.08665745891606946,0.09808142872659,0.11868686868686867
waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,11,6,34,31,0.0,0.0,0.0101010101010101,0.0,0.29419158516380733,0.37812600208433533,0.0,0.0,0.0,0.0,217,147,0.083934416920528,0.0,0.0
waqd2024,PM25_p95_rel_p90_h3,logistic_regression,linear,base,none,10,5,36,29,0.3056055056055056,0.5304029304029304,0.3046978021978022,0.16653846153846152,0.3791612886850774,0.6242093866393171,0.3253968253968254,0.6,0.36666666666666664,0.5333333333333333,194,130,0.2450480979542397,0.22479742479742482,0.16666666666666669
waqd2024,PM25_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,10,5,36,29,0.20936507936507934,0.34095238095238095,0.30646825396825395,0.1522222222222222,0.3761653898366999,0.6278279785529517,0.25761904761904764,0.4666666666666666,0.26666666666666666,0.3333333333333333,194,130,0.2516625887162518,0.1315873015873016,0.06666666666666665
waqd2024,PM25_p95_rel_p90_h3,logistic_regression,linear,local,none,10,5,36,29,0.25648351648351647,0.4463003663003663,0.3393452380952381,0.16499999999999998,0.3903245818920102,0.6455301161649728,0.2922222222222222,0.5444444444444445,0.30833333333333335,0.4166666666666667,194,130,0.2552055342729626,0.18981684981684982,0.10833333333333334
waqd2024,PM25_p95_rel_p90_h3,random_forest,ensemble,base,none,10,5,36,29,0.17698135198135198,0.303962703962704,0.38524725274725274,0.3419230769230769,0.3910705168211863,0.5733531548544939,0.1933627752176139,0.35815412186379925,0.31785714285714284,0.43571428571428567,194,130,0.18228263803330758,0.126981351981352,0.11785714285714283
waqd2024,PM25_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,10,5,36,29,0.18474969474969474,0.32505494505494503,0.2450274725274725,0.20076923076923076,0.3842412442235774,0.5510221709868375,0.23095238095238094,0.4333333333333333,0.23928571428571427,0.37857142857142856,194,130,0.16678092676326006,0.1403052503052503,0.1392857142857143
waqd2024,PM25_p95_rel_p90_h3,random_forest,ensemble,local,none,10,5,36,29,0.16807081807081808,0.2746031746031746,0.32519230769230767,0.2753846153846154,0.36643254067034253,0.5174682559438597,0.2021212121212121,0.36787878787878786,0.28214285714285714,0.36428571428571427,194,130,0.15103571527351717,0.10653235653235654,0.08214285714285713
waqd2024,PM25_p95_rel_p90_h3,xgboost,boosting,base,none,10,5,36,29,0.05,0.1,0.01428571428571428,0.0,0.34055507432089704,0.4477035552352008,0.1,0.2,0.03333333333333333,0.06666666666666667,194,130,0.10714848091430373,0.05,0.03333333333333333
waqd2024,PM25_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,10,5,36,29,0.16322537112010796,0.2649122807017544,0.2818513431013431,0.2440598290598291,0.2617931689396051,0.36752711931999166,0.13068181818181818,0.225,0.2630952380952381,0.3261904761904762,194,130,0.10573395038038658,0.10168690958164642,0.0630952380952381
waqd2024,PM25_p95_rel_p90_h3,xgboost,boosting,local,none,10,5,36,29,0.05,0.1,0.01428571428571428,0.0,0.37028714780297056,0.44649309902474454,0.1,0.2,0.03333333333333333,0.06666666666666667,194,130,0.07620595122177398,0.05,0.03333333333333333
